input_id	source	table_kind	contract_ok	status	certificate_score	pass_rate	certified_rows	total_rows	failure_reasons	summary_tsv	audit_card_md
tonic_lineage_boundary_digest	D:\projects\suanfa\results\snra_phase0_10_v0_1\snra_tonic_lineage_boundary_digest_v0_1.tsv	summary	True	PASS	0.880659	0.880659	4	4		D:\projects\suanfa\results\snra_clean_env_ci_v1_0\core_manifest\tonic_lineage_boundary_digest\snra_demo_audit_summary_v0_1.tsv	D:\projects\suanfa\results\snra_clean_env_ci_v1_0\core_manifest\tonic_lineage_boundary_digest\snra_demo_audit_card_v0_1.md
crc_st_composition_aware_summary	D:\projects\suanfa\results\snra_phase0_10_v0_1\snra_crc_st_composition_aware_audit_summary_v0_1.tsv	summary	True	PASS	1.000000	1.000000	1	1		D:\projects\suanfa\results\snra_clean_env_ci_v1_0\core_manifest\crc_st_composition_aware_summary\snra_demo_audit_summary_v0_1.tsv	D:\projects\suanfa\results\snra_clean_env_ci_v1_0\core_manifest\crc_st_composition_aware_summary\snra_demo_audit_card_v0_1.md
wu_breast_composition_aware_summary	D:\projects\suanfa\results\snra_phase0_10_v0_1\snra_wu_breast_composition_aware_audit_summary_v0_1.tsv	summary	True	PASS	1.000000	1.000000	1	1		D:\projects\suanfa\results\snra_clean_env_ci_v1_0\core_manifest\wu_breast_composition_aware_summary\snra_demo_audit_summary_v0_1.tsv	D:\projects\suanfa\results\snra_clean_env_ci_v1_0\core_manifest\wu_breast_composition_aware_summary\snra_demo_audit_card_v0_1.md
bcc_cosmx_fov_stress_summary	D:\projects\suanfa\results\snra_phase0_10_v0_1\snra_plan_f_bcc_cosmx_morphology_composition_aware_audit_summary_v0_1.tsv	summary	True	FAIL	0.333333	0.333333	0	1	pass_rate<0.7	D:\projects\suanfa\results\snra_clean_env_ci_v1_0\core_manifest\bcc_cosmx_fov_stress_summary\snra_demo_audit_summary_v0_1.tsv	D:\projects\suanfa\results\snra_clean_env_ci_v1_0\core_manifest\bcc_cosmx_fov_stress_summary\snra_demo_audit_card_v0_1.md
g5_container_package_summary	D:\projects\suanfa\results\snra_phase0_10_v0_1\snra_phase_g5_container_full_package_summary_v0_2.tsv	summary	True	FAIL	0.606277	0.606277	18	30	pass_rate<0.7	D:\projects\suanfa\results\snra_clean_env_ci_v1_0\core_manifest\g5_container_package_summary\snra_demo_audit_summary_v0_1.tsv	D:\projects\suanfa\results\snra_clean_env_ci_v1_0\core_manifest\g5_container_package_summary\snra_demo_audit_card_v0_1.md
