sample_id	x	y	cell_type	niche_label
TONIC_TMA15_R10C1	1982.6605839416056	248.77007299270076	segmented_cell	cancer_core
TONIC_TMA15_R10C1	88.03720238095238	1067.4568452380952	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1405.109126984127	838.7619047619048	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1283.3652482269504	1584.6170212765958	segmented_cell	cancer_core
TONIC_TMA15_R10C1	706.2563176895306	1740.6317689530686	segmented_cell	cancer_core
TONIC_TMA15_R10C1	205.74173806609548	410.4810281517748	segmented_cell	cancer_core
TONIC_TMA15_R10C1	2001.937762825904	1436.811606391926	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1139.92936802974	438.2193308550186	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1202.2521367521367	1432.207264957265	segmented_cell	cancer_core
TONIC_TMA15_R10C1	326.5422740524781	1468.0291545189505	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1148.9588014981273	1715.702247191011	segmented_cell	cancer_core
TONIC_TMA15_R10C1	599.4096385542168	1890.4819277108436	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1988.7120622568093	473.44357976653697	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1518.1589205397302	1728.5172413793102	segmented_cell	cancer_border
TONIC_TMA15_R10C1	1712.2296650717703	47.65071770334928	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1656.5543710021325	1400.684434968017	segmented_cell	cancer_core
TONIC_TMA15_R10C1	170.1889168765743	797.5390428211587	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1374.0550397877985	592.695623342175	segmented_cell	cancer_core
TONIC_TMA15_R10C1	368.3686274509804	1236.921568627451	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1248.8140161725066	358.3962264150944	segmented_cell	cancer_core
TONIC_TMA15_R10C1	324.1006825938567	754.2986348122867	segmented_cell	cancer_core
TONIC_TMA15_R10C1	916.3275109170306	860.9868995633187	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1190.398753894081	1515.5856697819315	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1543.011182108626	571.9185303514377	segmented_cell	cancer_core
TONIC_TMA15_R10C1	918.4810810810812	647.5189189189189	segmented_cell	cancer_core
TONIC_TMA15_R10C1	976.3925686591276	49.62197092084006	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1925.8860103626944	836.8341968911917	segmented_cell	cancer_core
TONIC_TMA15_R10C1	786.3587786259542	199.2381679389313	segmented_cell	cancer_core
TONIC_TMA15_R10C1	119.8849840255591	1827.6309904153356	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1520.5521821631878	988.4573055028465	segmented_cell	cancer_core
TONIC_TMA15_R10C1	260.51960784313724	1116.5245098039215	segmented_cell	cancer_core
TONIC_TMA15_R10C1	888.1904761904761	1595.8644688644688	segmented_cell	cancer_core
TONIC_TMA15_R10C1	315.32822477650063	1440.1162196679438	segmented_cell	cancer_core
TONIC_TMA15_R10C1	387.81951219512194	1417.0439024390244	segmented_cell	cancer_core
TONIC_TMA15_R10C1	418.4940476190476	1213.46626984127	segmented_cell	cancer_core
TONIC_TMA15_R10C1	751.8650793650794	1495.8968253968253	segmented_cell	cancer_core
TONIC_TMA15_R10C1	717.4896421845574	783.3182674199624	segmented_cell	cancer_core
TONIC_TMA15_R10C1	58.526315789473685	901.0723684210526	segmented_cell	cancer_core
TONIC_TMA15_R10C1	650.7402985074627	729.2656716417911	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1274.7522236340533	439.9606099110546	segmented_cell	cancer_core
TONIC_TMA15_R10C1	635.7725752508361	1527.1270903010034	segmented_cell	cancer_core
TONIC_TMA15_R10C1	502.0198300283286	150.3512747875354	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1376.738738738739	161.53153153153153	segmented_cell	cancer_core
TONIC_TMA15_R10C1	768.7560975609756	1209.2621951219512	segmented_cell	cancer_core
TONIC_TMA15_R10C1	651.2794561933534	466.89728096676737	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1667.9171483622351	214.53179190751445	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1575.6763787721125	1387.1540062434965	segmented_cell	cancer_core
TONIC_TMA15_R10C1	97.72239422084624	1005.3560371517028	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1270.3102189781025	1125.8302919708028	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1117.3409586056646	769.843137254902	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1536.656880733945	1899.4091743119263	segmented_cell	cancer_border
TONIC_TMA15_R10C1	1199.1492537313434	356.71268656716416	segmented_cell	cancer_core
TONIC_TMA15_R10C1	742.1449893390192	1691.496801705757	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1703.2057044079515	1510.9887640449438	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1538.1670951156811	244.77377892030847	segmented_cell	cancer_core
TONIC_TMA15_R10C1	440.2361809045226	1396.951423785595	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1182.875647668394	796.6010362694301	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1407.1816037735848	1739.9174528301887	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1038.9402985074628	129.08955223880596	segmented_cell	cancer_core
TONIC_TMA15_R10C1	55.38607594936709	299.4759493670886	segmented_cell	cancer_core
TONIC_TMA15_R10C1	889.3761904761905	1617.7095238095235	segmented_cell	cancer_core
TONIC_TMA15_R10C1	465.478431372549	1875.878431372549	segmented_cell	cancer_core
TONIC_TMA15_R10C1	670.3564356435644	865.3498349834983	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1904.915404040404	1463.3131313131314	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1810.2205607476635	165.02056074766355	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1721.888888888889	858.9629629629629	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1922.9396267837544	954.6937431394072	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1589.0122448979591	486.0	segmented_cell	cancer_core
TONIC_TMA15_R10C1	933.8133333333334	1932.6866666666667	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1227.8195488721803	691.3984962406015	segmented_cell	cancer_core
TONIC_TMA15_R10C1	968.1865443425075	1504.308868501529	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1755.168765743073	677.3123425692695	segmented_cell	cancer_core
TONIC_TMA15_R10C1	219.2072368421053	872.5625	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1445.5135542168675	1284.4036144578313	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1398.81993896236	1841.437436419125	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1917.3989898989896	1342.6818181818182	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1104.3975	93.2275	segmented_cell	cancer_core
TONIC_TMA15_R10C1	852.055	141.545	segmented_cell	cancer_border
TONIC_TMA15_R10C1	536.2666666666667	255.85454545454544	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1032.215	547.305	segmented_cell	cancer_core
TONIC_TMA15_R10C1	197.5185185185185	1262.4666666666667	segmented_cell	cancer_core
TONIC_TMA15_R10C1	878.0723514211886	1898.640826873385	segmented_cell	cancer_core
TONIC_TMA15_R10C1	292.367816091954	1831.8994252873565	segmented_cell	cancer_core
TONIC_TMA15_R10C1	746.0785714285714	321.9321428571429	segmented_cell	cancer_core
TONIC_TMA15_R10C1	469.9237410071942	1970.9697841726615	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1413.042372881356	137.05084745762713	segmented_cell	cancer_core
TONIC_TMA15_R10C1	324.32947976878614	268.5780346820809	segmented_cell	cancer_core
TONIC_TMA15_R10C1	976.5797468354432	259.5189873417722	segmented_cell	cancer_border
TONIC_TMA15_R10C1	911.220930232558	520.6511627906976	segmented_cell	cancer_core
TONIC_TMA15_R10C1	590.8624338624338	1186.94708994709	segmented_cell	cancer_core
TONIC_TMA15_R10C1	283.5263157894737	1121.4070175438596	segmented_cell	cancer_core
TONIC_TMA15_R10C1	1647.9873663751214	1030.167152575316	segmented_cell	cancer_core
