evidence_layer	dataset	task	control	observed_rate	negative_control_rate	certified_rate	claim_role	caveat	source_file	n_rows	tool	negative_control_rate_max
package_negative_control_calibration	CRC_ST	CellCharter_package_positive_call_rate	observed_vs_mean_negative_controls	0.9696969696969696	0.9204545454545455		comparator_calibration_stress_test	Package positive-call calibration endpoint; not directly comparable to SNRA certified pass rate.	results/snra_phase0_10_v0_1/snra_phase_g5_container_full_package_summary_v0_2.tsv	330	CellCharter	0.9848484848484848
package_negative_control_calibration	CRC_ST	SpaceFlow_package_positive_call_rate	observed_vs_mean_negative_controls	0.7142857142857143	0.21428571428571425		comparator_calibration_stress_test	Package positive-call calibration endpoint; not directly comparable to SNRA certified pass rate. SpaceFlow adapter caveat: embedding-cluster label alignment is a comparator stress test, not a native SpaceFlow claim certificate.	results/snra_phase0_10_v0_1/snra_phase_g5_container_full_package_summary_v0_2.tsv	70	SpaceFlow	0.4285714285714285
package_negative_control_calibration	CRC_ST	Squidpy_package_positive_call_rate	observed_vs_mean_negative_controls	0.9848484848484848	0.6439393939393939		comparator_calibration_stress_test	Package positive-call calibration endpoint; not directly comparable to SNRA certified pass rate.	results/snra_phase0_10_v0_1/snra_phase_g5_container_full_package_summary_v0_2.tsv	330	Squidpy	0.9545454545454546
package_negative_control_calibration	Wu_breast	CellCharter_package_positive_call_rate	observed_vs_mean_negative_controls	0.8214285714285714	0.8303571428571428		comparator_calibration_stress_test	Package positive-call calibration endpoint; not directly comparable to SNRA certified pass rate.	results/snra_phase0_10_v0_1/snra_phase_g5_container_full_package_summary_v0_2.tsv	140	CellCharter	0.9285714285714286
package_negative_control_calibration	Wu_breast	SpaceFlow_package_positive_call_rate	observed_vs_mean_negative_controls	0.5	0.0833333333333333		comparator_calibration_stress_test	Package positive-call calibration endpoint; not directly comparable to SNRA certified pass rate. SpaceFlow adapter caveat: embedding-cluster label alignment is a comparator stress test, not a native SpaceFlow claim certificate.	results/snra_phase0_10_v0_1/snra_phase_g5_container_full_package_summary_v0_2.tsv	30	SpaceFlow	0.1666666666666666
package_negative_control_calibration	Wu_breast	Squidpy_package_positive_call_rate	observed_vs_mean_negative_controls	0.9642857142857144	0.6160714285714286		comparator_calibration_stress_test	Package positive-call calibration endpoint; not directly comparable to SNRA certified pass rate.	results/snra_phase0_10_v0_1/snra_phase_g5_container_full_package_summary_v0_2.tsv	140	Squidpy	0.9642857142857144
