dataset	boundary_task	label_set	cap_cells_per_fov	n_fovs	n_cells	n_labels	n_fine_types	audit_label_rows	observed_crc_certified_rate	within_sample_shuffle_crc_certified_rate	within_fine_type_shuffle_crc_certified_rate	lineage_boundary_certified_rate	digest_gate	allowed_claim	blocked_claim
TONIC_S-BIAD1288	Cancer_cells__cancer_core_vs_border	lineage_stratified_boundary	250	240	55070	2	3	459	0.816993464052	0	0	0.816993464052	pass	primary_lineage_stratified_boundary_robustness	causal_mechanism_or_de_novo_niche_discovery
TONIC_S-BIAD1288	Cancer_cells__cancer_core_vs_border	lineage_stratified_boundary	500	240	103815	2	3	459	0.884531590414	0	0	0.884531590414	pass	primary_lineage_stratified_boundary_robustness	causal_mechanism_or_de_novo_niche_discovery
TONIC_S-BIAD1288	NonCancer_cells__stroma_core_vs_border	lineage_stratified_boundary	250	257	59448	2	6	497	0.913480885312	0	0	0.913480885312	pass	primary_lineage_stratified_boundary_robustness	causal_mechanism_or_de_novo_niche_discovery
TONIC_S-BIAD1288	NonCancer_cells__stroma_core_vs_border	lineage_stratified_boundary	500	257	108719	2	6	498	0.907630522088	0	0	0.907630522088	pass	primary_lineage_stratified_boundary_robustness	causal_mechanism_or_de_novo_niche_discovery
